Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2002","2002","1000 SLC","218360800800","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2003","2003","1000 SLC","219131623200","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2004","2004","1000 SLC","229147877100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2005","2005","1000 SLC","227144753100","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2006","2006","1000 SLC","227249980500","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2007","2007","1000 SLC","227840775300","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2008","2008","1000 SLC","245508202200","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2009","2009","1000 SLC","246905317800","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2010","2010","1000 SLC","253595498400","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2011","2011","1000 SLC","268763102616","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2012","2012","1000 SLC","277252633722","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2013","2013","1000 SLC","279163854900","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2014","2014","1000 SLC","285091491834","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2015","2015","1000 SLC","285829071809","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2016","2016","1000 SLC","273287030174","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2017","2017","1000 SLC","271078982626","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2018","2018","1000 SLC","279209175984","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2019","2019","1000 SLC","275717895794","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2020","2020","1000 SLC","271087333463","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2021","2021","1000 SLC","277982447168","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2022","2022","1000 SLC","270426799194","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","55","Gross Production Value (constant 2014-2016 thousand SLC)","0113","Rice","2023","2023","1000 SLC","275731443658","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1975","1975","1000 USD","3022935","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1976","1976","1000 USD","3473310","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1977","1977","1000 USD","3112065","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1978","1978","1000 USD","2875013","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1979","1979","1000 USD","3336958","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1980","1980","1000 USD","3420508","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1981","1981","1000 USD","3645989","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1982","1982","1000 USD","4225990","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1983","1983","1000 USD","4329685","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1984","1984","1000 USD","4553551","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1985","1985","1000 USD","4661974","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1986","1986","1000 USD","4699593","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1987","1987","1000 USD","4435201","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1988","1988","1000 USD","4992413","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1989","1989","1000 USD","5578670","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1990","1990","1000 USD","5645862","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1991","1991","1000 USD","5762391","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1992","1992","1000 USD","6340454","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1993","1993","1000 USD","6706455","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1994","1994","1000 USD","6909588","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1995","1995","1000 USD","7331124","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1996","1996","1000 USD","7751955","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1997","1997","1000 USD","8082981","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1998","1998","1000 USD","8636329","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","1999","1999","1000 USD","9219460","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2000","2000","1000 USD","9552982","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2001","2001","1000 USD","9429317","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2002","2002","1000 USD","10116156","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2003","2003","1000 USD","10151866","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2004","2004","1000 USD","10615896","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2005","2005","1000 USD","10523096","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2006","2006","1000 USD","10527971","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2007","2007","1000 USD","10555341","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2008","2008","1000 USD","11373833","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2009","2009","1000 USD","11438558","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2010","2010","1000 USD","11748499","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2011","2011","1000 USD","12451179","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2012","2012","1000 USD","12844480","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2013","2013","1000 USD","12933022","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2014","2014","1000 USD","13207636","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2015","2015","1000 USD","13241806","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2016","2016","1000 USD","12660762","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2017","2017","1000 USD","12558469","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2018","2018","1000 USD","12935122","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2019","2019","1000 USD","12773379","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2020","2020","1000 USD","12558855","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2021","2021","1000 USD","12878290","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2022","2022","1000 USD","12528254","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","0113","Rice","2023","2023","1000 USD","12774006","E","Estimated value"
